2010,"30,232",,,,,,,,,
2011,"31,747",,,,,,,,,
2012,"33,602",,,,,,,,,
2013,"34,852",,,,,,,,,
2014,"36,155",,,,,,,,,
2015,"37,100",,,,,,,,,
2016,"37,665",,,,,,,,,
2017,"38,563",,,,,,,,,
2018,"38,392",,,,,,,,,
2019,"38,103",,,,,,,,,
2020,"37,842",,,,,,,,,
